Loan_ID,Customer_ID,Application_Date,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Annual_Income,Employment_Type,Credit_Score,Age,Gender,Marital_Status,Region,Branch,Loan_Status,Default_Status,EMI,Total_Interest
L00001,C1001,2025-10-15,Auto,407473,8.7,84,2354301,Salaried,657,55,Female,Married,North,Delhi,Rejected,No,5272.89,248151.06
L00002,C1002,2025-11-06,Auto,743143,9.2,84,354515,Self-Employed,794,23,Female,Married,West,Ahmedabad,Pending,No,9660.86,478584.09
L00003,C1003,2025-07-14,Business,2921590,12.3,180,2759357,Self-Employed,812,50,Female,Married,West,Mumbai,Approved,No,18227.48,5390333.55
L00004,C1004,2025-10-13,Personal,660086,13.6,60,2539572,Salaried,779,41,Male,Married,East,Bhubaneswar,Approved,No,12497.63,448858.48
L00005,C1005,2025-05-07,Education,529963,7.9,96,2545973,Business Owner,616,56,Female,Single,North,Jaipur,Rejected,No,5956.56,334936.62
L00006,C1006,2025-11-02,Personal,214975,12.5,60,1460410,Self-Employed,730,54,Female,Married,West,Pune,Approved,No,4030.78,134359.38
L00007,C1007,2025-04-02,Business,967883,12.9,180,2538291,Business Owner,796,27,Female,Married,North,Lucknow,Approved,No,6070.78,1872853.6
L00008,C1008,2025-05-04,Personal,120422,12.0,60,4824639,Business Owner,844,26,Male,Single,South,Bengaluru,Approved,No,2247.88,72253.2
L00009,C1009,2025-04-13,Personal,653306,13.9,60,1377025,Business Owner,768,40,Female,Single,North,Lucknow,Approved,No,12401.93,454047.67
L00010,C1010,2025-02-06,Education,222056,8.3,96,1315056,Business Owner,663,36,Female,Single,West,Ahmedabad,Approved,No,2505.07,147445.18
L00011,C1011,2025-06-23,Personal,198907,13.9,60,4265051,Salaried,662,36,Male,Married,South,Hyderabad,Approved,Yes,3775.92,138240.37
L00012,C1012,2025-09-06,Education,664656,7.0,96,1839209,Self-Employed,671,34,Female,Married,West,Mumbai,Approved,Yes,7408.15,372207.36
L00013,C1013,2025-01-30,Home,2708443,7.8,240,3575095,Salaried,667,58,Female,Married,South,Bengaluru,Pending,No,12165.42,4225171.08
L00014,C1014,2025-12-03,Home,1085048,9.4,240,1858812,Business Owner,617,57,Female,Single,North,Lucknow,Rejected,No,4946.01,2039890.24
L00015,C1015,2025-04-20,Auto,1004318,8.6,84,2302242,Business Owner,667,37,Male,Single,South,Hyderabad,Approved,Yes,12984.4,604599.44
L00016,C1016,2025-03-10,Auto,869605,9.1,84,2690647,Self-Employed,640,28,Male,Married,North,Delhi,Rejected,No,11294.51,553938.39
L00017,C1017,2025-05-22,Business,1353949,12.7,180,2066889,Salaried,783,21,Female,Married,East,Bhubaneswar,Approved,No,8477.23,2579272.85
